(-176.6424054610319, 294.8923923958372) 
(-184.51564146288672, 295.64544315030366) 
(-191.42056372085253, 295.9973273271079) 
(-198.32560655970994, 295.940899982958) 
(-207.10554693386078, 296.29300097914296) 
(-214.48290041243712, 296.5688544514892) 
(-222.09559769734787, 296.24079392186655) 
(-231.7801741022986, 297.3330639083184) 
(-238.55786530401235, 297.070942539981) 
(-246.17540974967685, 297.31072573080627) 
(-257.75030346846313, 296.67116654962473) 
(-267.40895942201223, 297.47680316427466) 
(-276.26506993769584, 298.535045903023) 
(-287.539505444304, 298.8956261119341) 
(-298.0595855919816, 298.3848956243197) 
(-309.6923714905641, 299.39304858421553) 
(-320.9009313794955, 299.5723489238824) 
(-332.3342658790662, 300.0566583540884) 
(-344.4931429503815, 300.2889849131467) 
(-355.52830882135345, 301.64330611937726) 
(-356.3157092291421, 297.99222365111046) 
(-449.73723170953116, 307.8334329052767) 
(-1000.8459321022136, 297.05794080356) 
(-1003.0711870374898, 286.7381318122878) 
(-1003.23796526624, 267.3511689678104) 
(-1003.7888992926148, 247.07672524323434) 
(-1004.654279311268, 229.34696218078986) 
(-1005.0786296860211, 211.0591105554788) 
(-1004.4876568125765, 192.41130375105232) 
(-1004.4022414088786, 176.25606359164195) 
(-1004.5767337485638, 156.86347092636728) 
(-1004.6090105897865, 139.51271749131035) 
(-1005.1202949701496, 122.02230385925155) 
(-1005.70403424256, 95.73117573831185) 
(-1004.9829934220794, 87.09618494742942) 
(-1005.7325764571401, 67.5720700650998) 
(-1005.5238166890377, 49.67309705575502) 
(-1005.7290485844272, 32.37504182951592) 
(-1006.4541529536037, 9.60666448066129) 
(-1006.8652008749287, -16.47626374787216) 
(-1007.164542237045, -34.34599482390325) 
(-1007.1889182102146, -51.40751924123178) 
(-1008.2634159852986, -63.32413825435534) 
(-1007.7079718809688, -81.52081579292837) 
(-1006.7623486701794, -105.25984894585422) 
(-1007.9319121756502, -119.57533365179188) 
(-1008.4163019261865, -137.51954228222985) 
(-1009.2438336826162, -154.49234341421516) 
(-1010.2513522928672, -174.72769583106543) 
(-1008.924281009592, -191.83533352664088) 
(-1009.3206355735621, -213.9624198437207) 
(-1008.789544407157, -231.44903347130347) 
(-1009.3722474628036, -248.4510335093996) 
